EURONEXT/MLACP,Acep France (MLACP)
EURONEXT/ABI,Ab Inbev (ABI)
EURONEXT/CPR,Cimpor Sgps (CPR)
EURONEXT/DEPCF,Aareal Bkcap Fd Tr (DEPCF)
EURONEXT/EOS,Acteos (EOS)
EURONEXT/MLACO,A Et Co (MLACO)
EURONEXT/ABGE,Abengoa Cl A (ABGE)
EURONEXT/ALCLA,Clasquin (ALCLA)
EURONEXT/CPN,Cipan (CPN)
EURONEXT/ABBV,Abbvie (ABBV)
EURONEXT/ADNL,Aberdeen Asset Mgt (ADNL)
EURONEXT/CMB,Cmb (CMB)
EURONEXT/CLNZ,Clariant (namen) (CLNZ)
EURONEXT/AED,Aedifica (AED)
EURONEXT/COBL,Cobham (COBL)
EURONEXT/ACNV,Accor Nv18 (ACNV)
EURONEXT/ANAE,Acciona (ANAE)
EURONEXT/AXS,Accsys (AXS)
EURONEXT/COBH,Co Br Ha (COBH)
EURONEXT/COFP1,Cofinimmo Priv1 (COFP1)
EURONEXT/ALALO,Acheter-louer Fr (ALALO)
EURONEXT/ACXE,Acerinox (ACXE)
EURONEXT/COFB,Cofinimmo (COFB)
EURONEXT/ALCOG,Cogra (ALCOG)
EURONEXT/ALADA,Ada (ALADA)
EURONEXT/ABLX,Ablynx (ABLX)
EURONEXT/COGBS,Cogra 48 Bsar (COGBS)
EURONEXT/ADVI,Advini (ADVI)
EURONEXT/ALACI,Acces Industrie (ALACI)
EURONEXT/COLR,Colruyt (COLR)
EURONEXT/ACSE,Acs (ACSE)
EURONEXT/RE,Colas (RE)
EURONEXT/MLCOM,Compobaie (MLCOM)
EURONEXT/CPGL,Compass Group (CPGL)
EURONEXT/MLCNT,Consort Nt (MLCNT)
EURONEXT/CDU,Conduril (CDU)
EURONEXT/CONN,Connect Group (CONN)
EURONEXT/COND,Continental (COND)
EURONEXT/CWIV,Conwert Immobilien (CWIV)
EURONEXT/MLCOR,Corep Lighting (MLCOR)
EURONEXT/MLCOU,Courbet (MLCOU)
EURONEXT/AGN,Aegon (AGN)
EURONEXT/CPPL,Cpp Group (CPPL)
EURONEXT/CRBT,Courbet Am (CRBT)
EURONEXT/COUR,Courtois (COUR)
EURONEXT/MLCFM,Cfm Indosuezwealth (MLCFM)
EURONEXT/CWKL,Cranswick (CWKL)
EURONEXT/CRBP2,Crcam Brie Pic2cci (CRBP2)
EURONEXT/CRLO,Crcam Loire Hte L (CRLO)
EURONEXT/CRLA,Crcam Langued Cci (CRLA)
EURONEXT/AFO,Afone Particip (AFO)
EURONEXT/CNF,Crcam Nord Cci (CNF)
EURONEXT/CRAV,Crcam Atl Vend Cci (CRAV)
EURONEXT/AGKL,Aggreko (AGKL)
EURONEXT/ABGL,African Barrick Go (ABGL)
EURONEXT/AGS,Ageas (AGS)
EURONEXT/CRTO,Crcam Touraine Cci (CRTO)
EURONEXT/CRDAL,Croda Intl (CRDAL)
EURONEXT/SX,Cs (comm Systemes) (SX)
EURONEXT/CSRL,Csr Plc (CSRL)
EURONEXT/AGCR,Agricole Crau (AGCR)
EURONEXT/CRYO,Cryo Save Group (CRYO)
EURONEXT/CTT,Ctt Correios Port (CTT)
EURONEXT/AH,Ahold Kon (AH)
EURONEXT/AI,Air Liquide (AI)
EURONEXT/AF,Air France -klm (AF)
EURONEXT/MLAKD,Akd (MLAKD)
EURONEXT/ALSOL,Custom Solutions (ALSOL)
EURONEXT/CRSU,Crcam Sud R A Cci (CRSU)
EURONEXT/ALCYB,Cybergun (ALCYB)
EURONEXT/DIE,D''ieteren (DIE)
EURONEXT/AKA,Akka Technologies (AKA)
EURONEXT/AKZA,Akzo Nobel (AKZA)
EURONEXT/ALBE,Alba (ALBE)
EURONEXT/AKSOO,Aker Solutions (AKSOO)
EURONEXT/DAN,Dane Elec Memory (DAN)
EURONEXT/DANM,Danieli C Officine (DANM)
EURONEXT/ATSTL,Alliance Trust (ATSTL)
EURONEXT/BN,Danone (BN)
EURONEXT/ALFAS,Alfa Laval (ALFAS)
EURONEXT/ALUNV,Alcatel Nv (ALUNV)
EURONEXT/DSY,Dassault Systemes (DSY)
EURONEXT/AM,Dassault Aviation (AM)
EURONEXT/CDA,Alpes (compagnie) (CDA)
EURONEXT/ALM,Alpha Mos (ALM)
EURONEXT/ALO,Alstom (ALO)
EURONEXT/AREIT,Altareit (AREIT)
EURONEXT/ALTA,Altarea (ALTA)
EURONEXT/ATE,Alten (ATE)
